,koi_disposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,ra,dec
143,1,0.9875,0.7,0.208,-0.496,2.0,0.37840420449116097,1.0,0.6498299358539388,0.2615776915119534
145,1,1.0,0.3,0.145,-0.3,1.0,0.2904921165790731,0.6705426356589148,0.5080887006894308,0.26713832259470394
146,1,1.0,0.004,0.471,-0.003,2.0,0.2904921165790731,0.6705426356589148,0.5080887006894308,0.26713832259470394
148,1,0.999,0.644,0.031,-0.045,1.0,0.6077400860009555,0.38372093023255816,0.6347381692127776,0.3254902834436
149,1,1.0,0.045,0.319,-0.045,1.0,0.6000955566172957,0.32170542635658916,0.8819867069126222,0.3306699459032236
150,1,0.9875,0.926,0.0,-0.663,1.0,0.588628762541806,0.33720930232558144,0.14283851334641362,0.3367157662305851
151,1,1.0,0.823,0.001,-0.58,1.0,0.5695174390826564,0.42248062015503873,0.29417161784725643,0.3348771172934595
152,1,1.0,0.97,0.002,-0.663,2.0,0.5695174390826564,0.42248062015503873,0.29417161784725643,0.3348771172934595
154,1,1.0,0.427,0.016,-0.427,1.0,0.48924988055422836,0.4496124031007752,0.5897949403180345,0.2870253840590715
155,1,0.999,0.26,0.145,-0.26,2.0,0.48924988055422836,0.4496124031007752,0.5897949403180345,0.2870253840590715
156,1,1.0,0.458,0.004,-0.377,1.0,0.7262302914476827,0.10077519379844957,0.6169702733554683,0.29193348394109364
157,1,1.0,0.023,0.323,-0.023,1.0,0.294314381270903,0.6705426356589148,0.16836234025776875,0.3053047720177102
158,1,1.0,0.791,0.091,-0.541,1.0,0.6039178213091256,0.25193798449612403,0.3847254778585949,0.30244389035094343
159,1,0.9875,0.782,0.002,-0.003,1.0,0.6765408504538939,0.313953488372093,0.7749298948224421,0.308482156603775
160,1,0.9875,0.527,0.08,-0.309,1.0,0.31342570473005255,0.7248062015503876,0.32158494288424855,0.31934574800670035
162,1,0.9875,0.686,0.015,-0.505,1.0,0.3248924988055423,0.7015503875968992,0.33129510961371267,0.13265851121098216
163,1,1.0,0.029,0.429,-0.029,1.0,0.6268514094601051,0.43023255813953487,0.40727603485767716,0.3236665506027925
164,1,1.0,0.867,0.011,-0.613,1.0,0.6650740563784042,0.3875968992248062,0.5521665888108362,0.37149024413680554
166,1,1.0,0.02,0.404,-0.02,1.0,0.3860487338748208,0.6085271317829457,0.5304534283189994,0.3750751646420145
167,1,1.0,0.035,0.379,-0.035,2.0,0.3860487338748208,0.6085271317829457,0.5304534283189994,0.3750751646420145
168,1,1.0,0.594,0.326,-0.377,3.5,0.3860487338748208,0.6085271317829457,0.5304534283189994,0.3750751646420145
169,1,0.996,0.018,0.413,-0.018,1.0,0.2713807931199235,0.6666666666666667,0.43122799680131507,0.3351152626939018
170,1,0.9875,0.377,0.016,-0.029,1.0,0.630673674151935,0.4263565891472868,0.5361088820384037,0.3435623824757248
172,1,1.0,0.348,0.098,-0.347,1.0,0.6000955566172957,0.3914728682170543,0.2263960606036619,0.34931685879302865
173,1,0.9875,0.035,0.361,-0.035,1.0,0.3401815575728619,0.6976744186046512,0.666457705654663,0.6072033606157055
174,1,0.994,0.957,0.003,-0.689,2.0,0.6000955566172957,0.3914728682170543,0.2263960606036619,0.34931685879302865
177,1,1.0,0.128,0.325,-0.127,1.0,0.27902532250358336,0.6744186046511628,0.4544725030750332,0.35459837322364773
179,1,1.0,0.026,0.366,-0.026,1.0,0.6268514094601051,0.28682170542635665,0.6318673616095154,0.36074681373297457
180,1,1.0,0.196,0.221,-0.196,1.0,0.28284758719541325,0.6782945736434108,0.3257011332797113,0.36643586408273787
181,1,1.0,0.383,0.081,-0.383,2.0,0.28284758719541325,0.6782945736434108,0.3257011332797113,0.36643586408273787
182,1,1.0,0.9,0.023,-0.633,3.0,0.28284758719541325,0.6782945736434108,0.3257011332797113,0.36643586408273787
184,1,0.9875,0.812,0.048,-0.01,2.0,0.3401815575728619,0.6976744186046512,0.666457705654663,0.6072033606157055
186,1,1.0,0.03,0.355,-0.03,2.0,0.41280458671763015,0.5813953488372093,0.5879440984271582,0.40899295928244994
187,1,0.9875,0.183,0.165,-0.183,1.0,0.41280458671763015,0.5813953488372093,0.5879440984271582,0.40899295928244994
188,1,1.0,0.209,0.165,-0.209,3.0,0.41280458671763015,0.5813953488372093,0.5879440984271582,0.40899295928244994
189,1,1.0,0.479,0.416,-0.311,3.5,0.41280458671763015,0.5813953488372093,0.5879440984271582,0.40899295928244994
190,1,1.0,0.036,0.36,-0.036,1.0,0.3898709985666507,0.6046511627906976,0.6827846088571228,0.40701609638845415
